id_product;quantity_in_stock;pallet_space;posting_date
32;34;r01k04p02;2024-02-03
33;43;r01k09p02;2024-02-29
33;55;r02k10p02;2024-03-14
33;74;r03k08p02;2024-03-21
33;24;r01k04p03;2024-02-28
34;15;r01k01p01;2024-02-02
34;16;r01k10p03;2024-01-30
34;71;r05k01p01;2024-01-31
34;32;r05k09p02;2024-02-24
34;87;r05k01p01;2024-02-15
35;20;r05k02p01;2024-02-05
35;20;r03k02p03;2024-02-28
35;67;r04k04p02;2024-02-24
36;70;r03k05p01;2024-01-30
36;45;r04k06p03;2024-03-14
36;13;r04k08p01;2024-03-25
36;42;r01k03p01;2024-01-30
36;66;r01k01p02;2024-02-18
37;78;r02k05p02;2024-03-12
37;36;r05k10p03;2024-02-14
37;94;r05k10p03;2024-02-05
37;27;r03k03p02;2024-02-02
38;30;r04k06p03;2024-02-24
38;75;r05k09p03;2024-03-13
38;57;r05k05p01;2024-03-12
38;87;r05k04p03;2024-02-10
38;64;r01k03p03;2024-01-28
39;81;r05k07p01;2024-03-19
39;54;r04k05p02;2024-03-14
39;100;r03k01p01;2024-02-11
40;98;r02k09p01;2024-02-06
40;52;r01k07p01;2024-02-18
40;14;r05k01p02;2024-02-23
40;66;r01k03p02;2024-03-25
40;23;r05k04p03;2024-01-28
41;57;r01k05p03;2024-02-28
41;93;r02k06p02;2024-03-16
41;17;r01k05p03;2024-02-22
41;45;r03k02p01;2024-02-05
41;60;r02k08p03;2024-02-09
42;92;r04k02p02;2024-02-07
42;79;r01k06p02;2024-03-16
43;56;r05k08p01;2024-03-19
43;96;r03k03p03;2024-02-14
44;24;r02k09p02;2024-02-07
44;13;r04k09p02;2024-02-04
44;49;r04k06p02;2024-02-07
44;85;r03k05p03;2024-02-19
44;90;r03k03p01;2024-03-20
45;33;r04k10p03;2024-02-21
45;12;r04k01p03;2024-03-14
45;41;r05k08p01;2024-02-06
45;17;r01k08p03;2024-02-03
46;32;r05k02p03;2024-02-16
46;96;r02k04p01;2024-02-04
47;92;r01k07p03;2024-01-28
47;42;r04k02p01;2024-02-29
47;60;r04k07p01;2024-03-02
47;79;r03k06p03;2024-03-08
48;67;r03k07p03;2024-01-28
48;58;r02k06p01;2024-02-19
48;14;r02k05p01;2024-03-25
49;52;r03k10p03;2024-03-11
49;56;r01k07p01;2024-03-03
49;33;r03k04p03;2024-02-20
49;28;r04k01p02;2024-02-23
50;72;r05k07p01;2024-02-01
50;94;r05k07p03;2024-02-28
50;33;r03k06p03;2024-03-05
50;31;r01k04p01;2024-02-15
50;26;r02k02p02;2024-02-03
51;51;r01k04p01;2024-03-18
51;76;r02k08p01;2024-03-13
51;98;r04k04p01;2024-02-18
51;27;r04k09p03;2024-02-04
51;54;r04k07p03;2024-02-09
52;71;r03k08p03;2024-03-22
52;100;r03k06p03;2024-02-26
52;58;r01k03p02;2024-02-03
52;100;r05k07p03;2024-03-06
53;16;r05k10p03;2024-02-22
53;92;r05k10p01;2024-03-06
53;36;r03k08p02;2024-03-17
53;34;r02k04p02;2024-03-08
53;38;r05k05p02;2024-03-17
54;63;r03k10p02;2024-02-21
54;59;r02k05p03;2024-03-15
54;95;r02k07p03;2024-03-08
54;44;r02k02p02;2024-03-04
54;52;r04k09p02;2024-02-08
55;86;r02k06p03;2024-01-30
55;64;r02k03p03;2024-02-17
55;14;r05k06p02;2024-03-08
55;99;r04k10p01;2024-02-16
56;77;r01k06p03;2024-02-12
56;19;r01k06p03;2024-03-13
56;73;r04k09p03;2024-03-25
56;39;r03k07p01;2024-02-09
57;66;r03k09p01;2024-02-03
57;25;r01k04p01;2024-03-07
57;38;r01k03p01;2024-02-20
58;27;r01k02p02;2024-02-18
58;97;r05k04p03;2024-03-24
58;96;r03k02p01;2024-03-21
58;28;r02k09p02;2024-02-08
59;19;r04k09p01;2024-03-24
59;76;r03k07p03;2024-03-14
60;62;r05k09p03;2024-03-18
60;83;r03k01p02;2024-02-21
60;32;r03k08p03;2024-02-20
60;78;r02k01p01;2024-02-08
60;84;r03k07p02;2024-03-07
